@relation traindata
@attribute Sentences String
@attribute best_extractor {0,1,2}
@data
'Can you imagine Rahul Dravid as a top corporate executive? He had earlier earned a degree in commerce from St. Joseph s College of Commerce in Bangalore',0
'Vice President Pence arrives in Israel',2
'Arjun Tendulkar  the son of legendary Indian batsman Sachin Tendulkar  turned heads at Don Bradmans home of Bowral  NSW  with a powerful performance for a Cricket Club',0
'Donald Trump s unsettling record of comments about his daughter Ivank',0
'MARK Zuckerberg and his wife Priscilla Chan have announced they welcomed another baby girl into the world',0
'FC Barcelona and Lionel Messi signed on Saturday morning a new contract. After impressing throughout the various youth categories  he made his first team debut at just 16 years of age in a friendly against FC Porto',0
'As visibility drops  Punjab districts order change in school timings. Some districts  such as Shahid Bhagat Singh Nagar  have asked schools to remain closed from January 3-6',1
'Barcelona coach Ernesto Valverde admitted starting with Lionel Messi on the bench against Juventus was a tough decision',0
'The University of Essex has been welcomed into the CFA Institute University Affiliation Program  widely considered as the investment professions most rigorous credentialing scheme',0
'Newly-weds Virat Kohli and Anushka Sharma are making the most of their time in Cape Town',0
'Singer-songwriter Liam Gallagher was born in Manchester on September 21  1972 - the youngest of three boys.Now 44  Liam spends most of his time talking about how his band Oasis will eventually get back together and make more music eventually',0
'Donald Trump  the main supporter of false claims about Barack Obama s birthplace  has finally said he accepts that the president was born in the US  period',0
'Audible  Amazon s audiobook and spoken-word subsidiary  on Thursday announced Channels  a subscription service that will offer a new library of audio  including original programs  articles read aloud and more',2
'Borussia Dortmund reportedly want to sign Olivier Giroud from Arsenal as they look to identify replacements for Pierre-Emerick Aubameyang',0
'The district of Coimbatore is one of the largest districts of the state of Tamil Nadu  covering the geographical area of 7469 Sq. km',2
'Located in Western Europe  France is one of the worlds oldest countries  and its reach extends around the globe through science  politics  economics and perhaps above all  culture',2
'Brad Smith is Microsoft s president and chief legal officer.In this role Smith is responsible for the company s corporate  external  and legal affairs',2
'Zayn Malik Leaves One Direction',0
