	@relation DataExtraction

	@attribute Sentence string
	@attribute Subject string
	@attribute Predicate string
	@attribute Object string
	@attribute class {'True','False'}

	@data
	'Messi was born in Argentina','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Messi was born in Argentina','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Messi was born in Argentina','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Sachin was born in India','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Obama was born in USA','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Obama was born in India','<http://example.org/Obama>','<http://example.org/birthplce>','<http://example.org/Argentina>','False'
	'Ronaldo was born in Portugal','<http://example.org/Obama>','<http://example.org/birthplce>','<http://example.org/Argentina>','False'
	'Messi was born in Argentina','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/Argentina>','True'
	'Sachin was born in India','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/Argentina>','False'
	'Obama was born in USA','<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/Argentina>','False'
	'Ronaldo was born in Portugal','<http://example.org/Ronaldo>','<http://example.org/birthplce>','<http://example.org/USA>','False'
	'Harsh was born in India', '<http://example.org/Harsh>','<http://example.org/birthplce>','<http://example.org/Argentina>',"False"
	'Harsh was born in India', '<http://example.org/Harsh>','<http://example.org/birthplce>','<http://example.org/India>',"True"
	'Messi was born in Argentina', '<http://example.org/Messi>','<http://example.org/birthplce>','<http://example.org/India>',"False"
	'Ronaldo was born in Portugal', '<http://example.org/Obama>','<http://example.org/birthplce>','<http://example.org/Portugal>',"False"
	'Ronaldo was born in Portugal', '<http://example.org/Abc>','<http://example.org/birthplce>','<http://example.org/Japan	>',"False"
	'Abc was born in India', '<http://example.org/Harsh>','<http://example.org/birthplce>','<http://example.org/Argentina>',"False"
	'Harsh was born in India', '<http://example.org/Harsh>','<http://example.org/birthplce>','<http://example.org/Argentina>',"False"
	'Abc was born in India', '<http://example.org/Abc>','<http://example.org/birthplce>','<http://example.org/India>',"True"
	'Xyz was born in Argentina', '<http://example.org/Xyz>','<http://example.org/birthplce>','<http://example.org/Argentina>',"True"
	'Abc was born in India', '<http://example.org/Abc>','<http://example.org/birthplce>','<http://example.org/USA>',"False"
	'Trump was born in USA', '<http://example.org/Trump>','<http://example.org/birthplce>','<http://example.org/USA>',"True"
	'Asd was born in Germany', '<http://example.org/Asd>','<http://example.org/birthplce>','<http://example.org/Germany>',"True"
	'Thomas was born in Germany', '<http://example.org/Thomas>','<http://example.org/birthplce>','<http://example.org/Germany>',"True"
	'Thomas was born in India', '<http://example.org/Abc>','<http://example.org/birthplce>','<http://example.org/India>',"False"
	'Tau was born in China', '<http://example.org/Tan>','<http://example.org/birthplce>','<http://example.org/China>',"True"
	'Tau was born in Japan', '<http://example.org/Tan>','<http://example.org/birthplce>','<http://example.org/Japan>',"True"
	'Jinping was born in Japan', '<http://example.org/Jinping>','<http://example.org/birthplce>','<http://example.org/Japan>',"True"
	'Harry was died in England', '<http://example.org/Harry>','<http://example.org/died>','<http://example.org/England>',"True"
	'John was died in USA', '<http://example.org/John>','<http://example.org/died>','<http://example.org/USA>',"True"
	'Ronaldo was born in Portugal','<http://example.org/Ronaldo>','<http://example.org/birthplce>','<http://example.org/Portugal>','True'
	'Mahesh was died in India','<http://example.org/Mahesh>','<http://example.org/died>','<http://example.org/Portugal>','False'
	'Mahesh was died in India','<http://example.org/Mahesh>','<http://example.org/died>','<http://example.org/India>','True'	
	'Messi was born in Argentina','<http://example.org/Obama>','<http://example.org/birthplce>','<http://example.org/India>','False'
	'Xyz was died in Argentina', '<http://example.org/Xyz>','<http://example.org/died>','<http://example.org/Argentina>',"True"
	'Abc was died in Srilanka', '<http://example.org/Abc>','<http://example.org/died>','<http://example.org/Srilanka>',"False"
	'Trump was born in USA', '<http://example.org/Trump>','<http://example.org/birthplce>','<http://example.org/USA>',"True"
	'Amit was born in Germany', '<http://example.org/Amit>','<http://example.org/died>','<http://example.org/Germany>',"False"
	
	



